"country","male_athletes_num","female_athletes_num","total_athletes_num"
"Indonesia","16","13","29"
"Bangladesh","4","1","5"
"Venezuela","17","14","31"
"Brunei Darussalam","2","1","3"
"Cameroon","2","4","6"
"Kiribati","2","1","3"
"Korea","66","81","147"
"Luxembourg","7","6","13"
"Sweden","59","66","125"
"Centr Afric Re","2","2","4"
"Montenegro","16","3","19"
"Uganda","12","13","25"
"Jordan","9","3","12"
"Dominican Republic","34","25","59"
"Cambodia","2","1","3"
"Ireland","74","69","143"
"Papua New Guinea","5","2","7"
"Singapore","7","16","23"
"Sri Lanka","3","3","6"
"American Samoa","1","1","2"
"San Marino","2","3","5"
"Uzbekistan","57","31","88"
"Portugal","38","37","75"
"Finland","23","34","57"
"Malta","3","2","5"
"Colombia","37","51","88"
"Albania","5","3","8"
"Saudi Arabia","6","2","8"
"Grenada","4","2","6"
"Ukraine","72","69","141"
"Cayman Islands","2","2","4"
"Cuba","34","27","61"
"Latvia","16","13","29"
"Kyrgyzstan","11","5","16"
"Algeria","27","19","46"
"France","306","295","601"
"Slovakia","14","14","28"
"Maldives","2","3","5"
"Israel","56","33","89"
"Djibouti","5","2","7"
"Nauru","1","0","1"
"Syria","5","1","6"
"Virgin Islands, B","3","1","4"
"Kenya","40","34","74"
"Senegal","7","4","11"
"Ghana","7","2","9"
"Malaysia","13","13","26"
"Iceland","2","3","5"
"Zambia","9","22","31"
"Madagascar","3","4","7"
"Kuwait","5","4","9"
"Sierra Leone","1","3","4"
"Liberia","5","3","8"
"Philippines","7","15","22"
"Tuvalu","1","1","2"
"Benin","3","2","5"
"United States","291","328","619"
"Cabo Verde","4","3","7"
"Guinea","20","5","25"
"Cyprus","6","9","15"
"Nigeria","23","63","86"
"Rwanda","3","4","7"
"Zimbabwe","5","2","7"
"Tajikistan","11","3","14"
"Guam","1","7","8"
"China","134","264","398"
"Comoros","3","1","4"
"Saint Lucia","3","1","4"
"Armenia","13","2","15"
"Qatar","12","1","13"
"Netherlands","118","172","290"
"Lesotho","1","2","3"
"Paraguay","23","6","29"
"Gabon","2","3","5"
"Australia","210","265","475"
"Dominica","2","2","4"
"Serbia","70","44","114"
"Mauritius","7","5","12"
"Bosnia & Herzegovina","2","3","5"
"Angola","8","17","25"
"Libya","5","1","6"
"Vanuatu","2","4","6"
"Bahrain","6","8","14"
"IR Iran","30","11","41"
"EOR","24","13","37"
"Spain","199","202","401"
"Congo","2","2","4"
"Georgia","21","7","28"
"Belgium","89","88","177"
"Malawi","1","2","3"
"Monaco","3","3","6"
"Burundi","4","3","7"
"Great Britain","165","178","343"
"Bhutan","2","1","3"
"DR Congo","3","3","6"
"Thailand","24","28","52"
"Hong Kong, China","16","18","34"
"Togo","2","3","5"
"St Kitts and Nevis","2","1","3"
"Burkina Faso","5","3","8"
"AIN","15","17","32"
"El Salvador","7","1","8"
"Italy","205","192","397"
"Uruguay","23","4","27"
"Oman","3","1","4"
"Eswatini","2","1","3"
"Fiji","19","17","36"
"StVincent&Grenadines","2","2","4"
"Palau","1","2","3"
"Germany","232","225","457"
"Eritrea","8","3","11"
"Canada","129","203","332"
"Barbados","2","2","4"
"Bermuda","4","4","8"
"Namibia","2","2","4"
"Marshall Islands","2","2","4"
"Argentina","110","33","143"
"Cook Islands","1","1","2"
"Liechtenstein","1","0","1"
"Slovenia","48","47","95"
"Azerbaijan","28","20","48"
"UA Emirates","9","4","13"
"Greece","59","41","100"
"Egypt","103","54","157"
"Bahamas","11","8","19"
"Afghanistan","3","3","6"
"Chad","2","1","3"
"Puerto Rico","27","24","51"
"India","66","46","112"
"Timor-Leste","2","2","4"
"Chile","30","18","48"
"Micronesia","2","1","3"
"Sao Tome & Principe","1","2","3"
"Gambia","4","3","7"
"Estonia","16","8","24"
"Vietnam","4","12","16"
"South Africa","78","63","141"
"Suriname","4","1","5"
"Peru","9","17","26"
"Kazakhstan","54","25","79"
"Kosovo","2","7","9"
"Japan","230","201","431"
"Denmark","57","74","131"
"Jamaica","33","32","65"
"Trinidad and Tobago","10","7","17"
"Mongolia","14","18","32"
"Iraq","23","0","23"
"Mauritania","1","1","2"
"Mozambique","3","4","7"
"Switzerland","71","66","137"
"Seychelles","2","1","3"
"Ecuador","16","24","40"
"New Zealand","107","101","208"
"Hungary","92","85","177"
"Côte d'Ivoire","4","9","13"
"Honduras","3","1","4"
"Belize","1","0","1"
"Norway","56","53","109"
"Botswana","12","2","14"
"Pakistan","4","3","7"
"Virgin Islands, US","4","1","5"
"Romania","49","47","96"
"Brazil","126","164","290"
"Austria","47","37","84"
"Chinese Taipei","26","34","60"
"Guatemala","10","6","16"
"Guinea-Bissau","6","0","6"
"Bolivia","2","2","4"
"Ethiopia","16","17","33"
"Niger","5","2","7"
"Panama","3","5","8"
"South Sudan","13","1","14"
"Yemen","3","1","4"
"Lithuania","27","24","51"
"Bulgaria","21","25","46"
"Lao PDR","1","3","4"
"Turkmenistan","3","3","6"
"Croatia","58","15","73"
"Tunisia","12","14","26"
"Sudan","3","1","4"
"Aruba","4","2","6"
"Mali","22","2","24"
"DPR Korea","4","10","14"
"North Macedonia","4","2","6"
"Morocco","43","18","61"
"Myanmar","1","1","2"
"Türkiye","47","54","101"
"Nicaragua","1","6","7"
"Mexico","45","63","108"
"Nepal","3","4","7"
"Tonga","2","2","4"
"Guyana","2","3","5"
"Palestine","6","2","8"
"Tanzania","4","3","7"
"Poland","102","124","226"
"Lebanon","5","4","9"
"Costa Rica","3","3","6"
"Republic of Moldova","14","12","26"
"Haiti","4","3","7"
"Samoa","20","4","24"
"Equatorial Guinea","2","1","3"
"Czechia","62","49","111"
"Antigua and Barbuda","3","2","5"
"Somalia","1","0","1"
"Andorra","1","1","2"
"Solomon Islands","0","2","2"
